country,resort,hotel,price (£),distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm),price ($),ratings,num_reviews,relative_score,value_metric,proportion_blues,proportion_reds,proportion_blacks
austria,niederau-oberau,enzian-guesthouse,718.0,,826.0,48.0,47,7,8,31,24,34,11,69,https://www.igluski.com/ski-resorts/austria/niederau-oberau/enzian-guesthouse_30864?holidayId=58315218,32,0.0,0.0,50.0,106.0,48.0,114.0,883.14,4.6,39,179.39999999999998,0.20313880019023028,0.34782608695652173,0.34782608695652173,0.15942028985507245
france,chamonix,hotel-richemond,721.0,400.0,1035.0,762.0,64,13,18,32,51,190,21,262,https://www.igluski.com/ski-resorts/france/chamonix/hotel-richemond_31178?holidayId=58540958,3,0.0,0.0,0.0,130.0,0.0,130.0,886.83,4.3,203,872.9,0.9842923671955165,0.1946564885496183,0.1946564885496183,0.08015267175572519
andorra,pas-de-la-casa,hotel-cubil,724.0,150.0,2050.0,193.0,63,4,28,26,40,37,23,100,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-cubil_34906?holidayId=58479549,,15.0,40.0,80.0,165.0,52.0,140.0,890.52,4.1,12,49.199999999999996,0.055248618784530384,0.4,0.4,0.23
italy,val-di-fassa,hotel-regina-e-fassa-mazzin,729.0,600.0,1460.0,120.0,58,9,28,21,30,41,3,74,https://www.igluski.com/ski-resorts/italy/val-di-fassa/hotel-regina-e-fassa-mazzin_40698?holidayId=58464997,100,50.0,160.0,50.0,120.0,50.0,120.0,896.67,3.5,455,1592.5,1.7760157025438568,0.40540540540540543,0.40540540540540543,0.04054054054054054
finland,yllas,hotel-akashotelli,731.0,,719.0,0.0,29,1,1,0,33,24,6,63,https://www.igluski.com/ski-resorts/finland/yllas/hotel-akashotelli_27545?holidayId=58346772,55,40.0,65.0,85.0,85.0,85.0,85.0,899.13,4.1,898,3681.7999999999997,4.09484724122207,0.5238095238095238,0.5238095238095238,0.09523809523809523
italy,passo-tonale,hotel-locanda-locatori,731.0,700.0,1883.0,100.0,30,3,19,8,11,15,4,30,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-locanda-locatori_32292?holidayId=58447281,72,30.0,400.0,30.0,400.0,30.0,400.0,899.13,3.9,146,569.4,0.6332788362083347,0.36666666666666664,0.36666666666666664,0.13333333333333333
italy,passo-tonale,hotel-orchidea,734.0,,1883.0,100.0,30,3,19,8,11,15,4,30,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-orchidea_3604?holidayId=58479330,54,30.0,400.0,30.0,400.0,30.0,400.0,902.8199999999999,4.3,138,593.4,0.6572738751910681,0.36666666666666664,0.36666666666666664,0.13333333333333333
austria,soll,guesthouse-erhart,734.0,,703.0,250.0,94,11,38,44,63,57,8,128,https://www.igluski.com/ski-resorts/austria/soll/guesthouse-erhart_18917?holidayId=58354436,12,0.0,25.0,33.0,76.0,48.0,85.0,902.8199999999999,3.8,4,15.2,0.016836135663808954,0.4921875,0.4921875,0.0625
austria,kaprun,pension-elisabeth,735.0,,775.0,132.0,56,12,17,27,31,19,9,59,https://www.igluski.com/ski-resorts/austria/kaprun/pension-elisabeth_38119?holidayId=58419520,,0.0,130.0,33.0,188.0,39.0,235.0,904.05,4.8,31,148.79999999999998,0.1645926663348266,0.5254237288135594,0.5254237288135594,0.15254237288135594
finland,pyha,pyha-suites,737.0,,280.0,80.0,9,0,0,0,8,4,2,14,https://www.igluski.com/ski-resorts/finland/pyha/pyha-suites_26103?holidayId=58529063,4,40.0,50.0,60.0,70.0,64.0,74.0,906.51,4.3,24,103.19999999999999,0.1138432008472052,0.5714285714285714,0.5714285714285714,0.14285714285714285
